,components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency
3782,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,328.2,101.325,863.951,4.614
3834,n-octane,CCCCCCCC,31372-91-5,288.2,101.325,706.5799999999999,1.975
3836,n-octane,CCCCCCCC,31372-91-5,293.2,101.325,702.5649999999999,1.968
3837,n-octane,CCCCCCCC,31372-91-5,298.2,101.325,698.6109999999999,1.961
3838,n-octane,CCCCCCCC,31372-91-5,303.2,101.325,694.4849999999999,1.954
3839,n-octane,CCCCCCCC,31372-91-5,308.2,101.325,690.4266666666667,1.947
3889,nonane,CCCCCCCCC,111-84-2,288.2,101.325,721.6304999999999,1.993
3892,nonane,CCCCCCCCC,111-84-2,298.2,101.325,713.9907083333334,1.98
3894,nonane,CCCCCCCCC,111-84-2,308.2,101.325,706.3634444444444,1.966
3896,nonane,CCCCCCCCC,111-84-2,318.2,101.325,698.099142857143,1.953
3898,nonane,CCCCCCCCC,111-84-2,328.2,101.325,690.1591666666667,1.94
4005,pentan-1-ol,C(CCCC)O,71-41-0,288.2,101.325,818.47325,16.334
4007,pentan-1-ol,C(CCCC)O,71-41-0,293.2,101.325,814.8121428571428,15.7375
4008,pentan-1-ol,C(CCCC)O,71-41-0,298.2,101.325,810.9371538461539,15.151
4009,pentan-1-ol,C(CCCC)O,71-41-0,303.2,101.325,807.1216000000001,14.572
4010,pentan-1-ol,C(CCCC)O,71-41-0,308.2,101.325,803.433,13.998
4286,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,278.2,101.325,939.092,6.794
4287,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,280.6,101.325,936.249,6.701
4288,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,283.2,101.325,933.389,6.628
4289,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,285.6,101.325,930.524,6.562
4290,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,288.2,101.325,927.6125,6.489
4291,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,290.6,101.325,924.78,6.422
4292,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,293.2,101.325,921.8295,6.34
4293,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,295.6,101.325,919.015,6.279
4294,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,298.2,101.325,916.0355,6.209
4295,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,300.6,101.325,913.223,6.123
4296,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,303.2,101.325,910.2294999999999,6.043
4297,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,305.6,101.325,907.407,5.98
4298,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,308.2,101.325,904.4085,5.893
4299,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,310.6,101.325,901.562,5.817
4300,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,313.2,101.325,898.573,5.743
4301,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,315.6,101.325,895.683,5.664
4302,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,318.2,101.325,892.721,5.587
4303,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,320.6,101.325,889.772,5.512
4304,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,323.2,101.325,886.802,5.434
4305,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,325.6,101.325,883.823,5.362
4306,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,328.2,101.325,880.833,5.291
4322,propyl alcohol,C(CC)O,71-23-8,300.2,101.325,798.5,20.678
4568,tetramethylene sulfone,C1[S](CCC1)(=O)=O,126-33-0,293.2,101.325,1270.8,44.5
4569,tetramethylene sulfone,C1[S](CCC1)(=O)=O,126-33-0,298.2,101.325,1266.5,44.0
4570,tetramethylene sulfone,C1[S](CCC1)(=O)=O,126-33-0,303.2,101.325,1262.15,43.4
4571,tetramethylene sulfone,C1[S](CCC1)(=O)=O,126-33-0,308.2,101.325,1257.6,42.8
4572,tetramethylene sulfone,C1[S](CCC1)(=O)=O,126-33-0,313.2,101.325,1253.6,42.2
4573,tetramethylene sulfone,C1[S](CCC1)(=O)=O,126-33-0,318.2,101.325,1248.7,41.6
4574,tetramethylene sulfone,C1[S](CCC1)(=O)=O,126-33-0,323.2,101.325,1244.95,41.1
4575,tetramethylene sulfone,C1[S](CCC1)(=O)=O,126-33-0,328.2,101.325,1240.3,40.4
4613,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,303.2,101.325,1118.52,28.11
4614,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,308.2,101.325,1115.3396666666667,27.41
4615,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,313.2,101.325,1112.8355,26.73
4616,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,318.2,101.325,1109.7223333333334,26.07
4617,triethanolamine,N(CCO)(CCO)CCO,126068-67-5,323.2,101.325,1107.13425,25.41
4632,triethylene glycol,C(COCCOCCO)O,118662-30-9,293.2,101.325,1125.77,23.69
4633,triethylene glycol,C(COCCOCCO)O,118662-30-9,298.2,101.325,1119.6799999999998,23.07
4634,triethylene glycol,C(COCCOCCO)O,118662-30-9,303.2,101.325,1115.987,22.43
4657,water,O,14314-42-2,275.2,101.325,999.94,86.36
4659,water,O,14314-42-2,277.2,101.325,999.97,85.67
4661,water,O,14314-42-2,279.2,101.325,999.94,84.84
4663,water,O,14314-42-2,281.2,101.325,999.85,84.25
4666,water,O,14314-42-2,283.2,101.325,999.7230000000001,83.37
4677,water,O,14314-42-2,293.2,101.325,998.4200895522389,79.98
4689,water,O,14314-42-2,303.2,101.325,995.7003278688525,76.61
4690,water,O,14314-42-2,305.2,101.325,995.09,75.95
4702,water,O,14314-42-2,313.2,101.325,992.2259444444446,73.29
4703,water,O,14314-42-2,315.2,101.325,991.4200000000001,72.68
4713,water,O,14314-42-2,323.2,101.325,988.111818181818,70.14
